#node,latitude,longitude,P amount,P-limit,P limit modified,P excess,DE compare,indicator,log10(indicator)
n181,43.2025986,-89.5406036,0.0,0,1.0,0.0,0.0,1.0,0.0
n182,43.2169991,-89.5840988,0.0,0,1.0,0.0,0.0,1.0,0.0
n183,43.232399,-89.5010986,0.0,0,1.0,0.0,0.0,1.0,0.0
n184,43.214901,-89.3760986,0.0,0,1.0,0.0,0.0,1.0,0.0
n185,43.2369003,-89.3796005,0.0,0,1.0,0.0,0.0,1.0,0.0
n186,43.2700005,-89.346199,0.0,0,1.0,0.0,0.0,1.0,0.0
n187,43.2038994,-89.292099,0.0,0,1.0,0.0,0.0,1.0,0.0
n188,43.1282997,-89.4730988,0.0,0,1.0,0.0,0.0,1.0,0.0
n189,43.1525993,-89.471199,0.0,0,1.0,0.0,0.0,1.0,0.0
n190,43.1599007,-89.5000992,0.0,0,1.0,0.0,0.0,1.0,0.0
n191,43.1641006,-89.4777985,0.0,0,1.0,0.0,0.0,1.0,0.0
n192,43.169899,-89.4971008,0.0,0,1.0,0.0,0.0,1.0,0.0
n193,43.1864014,-89.5758972,0.0,0,1.0,0.0,0.0,1.0,0.0
n194,43.2069016,-89.5643997,0.0,0,1.0,0.0,0.0,1.0,0.0
n195,43.2470016,-89.5035019,0.0,0,1.0,0.0,0.0,1.0,0.0
n196,43.2565994,-89.441803,0.0,0,1.0,0.0,0.0,1.0,0.0
n197,43.2088013,-89.3968964,0.0,0,1.0,0.0,0.0,1.0,0.0
n198,43.2331009,-89.3785019,0.0,0,1.0,0.0,0.0,1.0,0.0
n199,43.277401,-89.3097992,0.0,0,1.0,0.0,0.0,1.0,0.0
n200,43.2498016,-89.2911987,0.0,0,1.0,0.0,0.0,1.0,0.0
n201,43.2346001,-89.3013,0.0,0,1.0,0.0,0.0,1.0,0.0
n202,43.2226982,-89.2975998,0.0,0,1.0,0.0,0.0,1.0,0.0
n203,43.2033997,-89.414299,0.0,0,1.0,0.0,0.0,1.0,0.0
n204,43.2921,-89.3664,0.32341551,0.32341551,0.32341551,0.0,0.0,1.0,0.0
n205,43.292,-89.3733,0.480981115,0.480981115,0.480981115,0.0,0.0,1.0,0.0
n206,43.2904,-89.3764,0.179189238,0.179189238,0.179189238,0.0,0.0,1.0,0.0
n207,43.2917,-89.4049,0.325364346,0.325364346,0.325364346,0.0,0.0,1.0,0.0
n208,43.2912,-89.431,0.408675961,0.408675961,0.408675961,0.0,0.0,1.0,0.0
n209,43.2908,-89.3802,0.820497871,0.820497871,0.820497871,0.0,0.0,1.0,0.0
n210,43.2903,-89.4184,0.669601212,0.669601212,0.669601212,0.0,0.0,1.0,0.0
n211,43.2913,-89.4116,0.754480387,0.754480387,0.754480387,0.0,0.0,1.0,0.0
n212,43.2869,-89.4166,0.496701113,0.496701113,0.496701113,0.0,0.0,1.0,0.0
n213,43.2897,-89.4442,0.403763428,0.403763428,0.403763428,0.0,0.0,1.0,0.0
n214,43.28,-89.2807,0.303266454,0.303266454,0.303266454,0.0,0.0,1.0,0.0
n215,43.2876,-89.4397,0.323798186,0.323798186,0.323798186,0.0,0.0,1.0,0.0
n216,43.2879,-89.4681,0.179189238,0.179189238,0.179189238,0.0,0.0,1.0,0.0
n217,43.2851,-89.4133,0.374097046,0.374097046,0.374097046,0.0,0.0,1.0,0.0
n218,43.287,-89.4057,1.049988811,1.049988811,1.049988811,0.0,0.0,1.0,0.0
n219,43.2781,-89.2769,0.248352685,0.248352685,0.248352685,0.0,0.0,1.0,0.0
n220,43.2872,-89.4341,0.644454624,0.644454624,0.644454624,0.0,0.0,1.0,0.0
n221,43.2856,-89.4447,0.238920411,0.238920411,0.238920411,0.0,0.0,1.0,0.0
n222,43.2799,-89.3299,0.484129921,0.484129921,0.484129921,0.0,0.0,1.0,0.0
n223,43.279,-89.3072,0.402393894,0.402393894,0.402393894,0.0,0.0,1.0,0.0
n224,43.2773,-89.2925,0.15089806,0.15089806,0.15089806,0.0,0.0,1.0,0.0
n225,43.2848,-89.4398,0.304937868,0.304937868,0.304937868,0.0,0.0,1.0,0.0
n226,43.284,-89.4335,0.204340096,0.204340096,0.204340096,0.0,0.0,1.0,0.0
n227,43.2769,-89.2825,0.311226994,0.311226994,0.311226994,0.0,0.0,1.0,0.0
n228,43.2779,-89.2723,0.851944927,0.851944927,0.851944927,0.0,0.0,1.0,0.0
n229,43.285,-89.4495,0.317511863,0.317511863,0.317511863,0.0,0.0,1.0,0.0
n230,43.2806,-89.3811,0.094310898,0.094310898,0.094310898,0.0,0.0,1.0,0.0
n231,43.2776,-89.2866,0.187646611,0.187646611,0.187646611,0.0,0.0,1.0,0.0
n232,43.2841,-89.3752,3.093382758,3.093382758,3.093382758,0.0,0.0,1.0,0.0
n233,43.279,-89.3206,0.584729096,0.584729096,0.584729096,0.0,0.0,1.0,0.0
n234,43.2758,-89.295,0.420836736,0.420836736,0.420836736,0.0,0.0,1.0,0.0
n235,43.2774,-89.3127,0.534430209,0.534430209,0.534430209,0.0,0.0,1.0,0.0
n236,43.2817,-89.4126,1.521553198,1.521553198,1.521553198,0.0,0.0,1.0,0.0
n237,43.2824,-89.4428,0.713618059,0.713618059,0.713618059,0.0,0.0,1.0,0.0
n238,43.2816,-89.434,0.48727307,0.48727307,0.48727307,0.0,0.0,1.0,0.0
n239,43.2742,-89.2982,0.352096409,0.352096409,0.352096409,0.0,0.0,1.0,0.0
n240,43.2769,-89.3652,0.279789827,0.279789827,0.279789827,0.0,0.0,1.0,0.0
n241,43.2756,-89.3388,0.330090113,0.330090113,0.330090113,0.0,0.0,1.0,0.0
n242,43.2801,-89.4055,0.0,0,1.0,0.0,0.0,1.0,0.0
n243,43.2776,-89.3703,0.462125028,0.462125028,0.462125028,0.0,0.0,1.0,0.0
n244,43.281,-89.4542,0.176317751,0.176317751,0.176317751,0.0,0.0,1.0,0.0
n245,43.2815,-89.4493,0.446405056,0.446405056,0.446405056,0.0,0.0,1.0,0.0
n246,43.2778,-89.3803,0.36467043,0.36467043,0.36467043,0.0,0.0,1.0,0.0
n247,43.2775,-89.3756,0.45583733,0.45583733,0.45583733,0.0,0.0,1.0,0.0
n248,43.2736,-89.2701,0.28916273,0.28916273,0.28916273,0.0,0.0,1.0,0.0
n249,43.2756,-89.3498,0.467243333,0.467243333,0.467243333,0.0,0.0,1.0,0.0
n250,43.2827,-89.4632,0.215164643,0.215164643,0.215164643,0.0,0.0,1.0,0.0
n251,43.2839,-89.4579,1.292056654,1.292056654,1.292056654,0.0,0.0,1.0,0.0
n252,43.2727,-89.2874,0.288352046,0.288352046,0.288352046,0.0,0.0,1.0,0.0
n253,43.2828,-89.467,0.93367535,0.93367535,0.93367535,0.0,0.0,1.0,0.0
n254,43.2788,-89.388,0.559166233,0.559166233,0.559166233,0.0,0.0,1.0,0.0
n255,43.2834,-89.4712,0.584726293,0.584726293,0.584726293,0.0,0.0,1.0,0.0
n256,43.2861,-89.3931,8.660841531,8.660841531,8.660841531,0.0,0.0,1.0,0.0
n257,43.2722,-89.2969,0.374102704,0.374102704,0.374102704,0.0,0.0,1.0,0.0
n258,43.2711,-89.2685,0.354401543,0.354401543,0.354401543,0.0,0.0,1.0,0.0
n259,43.2771,-89.403,0.257423956,0.257423956,0.257423956,0.0,0.0,1.0,0.0
n260,43.275,-89.3756,0.160330334,0.160330334,0.160330334,0.0,0.0,1.0,0.0
n261,43.269,-89.2534,0.138324187,0.138324187,0.138324187,0.0,0.0,1.0,0.0
n262,43.2774,-89.4117,1.05314182,1.05314182,1.05314182,0.0,0.0,1.0,0.0
n263,43.2699,-89.2605,0.550153009,0.550153009,0.550153009,0.0,0.0,1.0,0.0
n264,43.2683,-89.2588,0.264074085,0.264074085,0.264074085,0.0,0.0,1.0,0.0
n265,43.2768,-89.419,0.231849543,0.231849543,0.231849543,0.0,0.0,1.0,0.0
n266,43.273,-89.3402,0.345584819,0.345584819,0.345584819,0.0,0.0,1.0,0.0
n267,43.2683,-89.2677,0.068764706,0.068764706,0.068764706,0.0,0.0,1.0,0.0
n268,43.2785,-89.4699,0.216915517,0.216915517,0.216915517,0.0,0.0,1.0,0.0
n269,43.2727,-89.3457,0.210629221,0.210629221,0.210629221,0.0,0.0,1.0,0.0
n270,43.2688,-89.2721,0.25778636,0.25778636,0.25778636,0.0,0.0,1.0,0.0
n271,43.274,-89.3706,0.364671831,0.364671831,0.364671831,0.0,0.0,1.0,0.0
n272,43.275,-89.3309,2.52440885,2.52440885,2.52440885,0.0,0.0,1.0,0.0
n273,43.2696,-89.2836,0.11631804,0.11631804,0.11631804,0.0,0.0,1.0,0.0
n274,43.272,-89.2787,2.134587549,2.134587549,2.134587549,0.0,0.0,1.0,0.0
n275,43.2724,-89.3508,0.597307347,0.597307347,0.597307347,0.0,0.0,1.0,0.0
n276,43.2692,-89.2873,0.298094526,0.298094526,0.298094526,0.0,0.0,1.0,0.0
n277,43.278,-89.4581,0.835826061,0.835826061,0.835826061,0.0,0.0,1.0,0.0
n278,43.2779,-89.4406,2.826193762,2.826193762,2.826193762,0.0,0.0,1.0,0.0
n279,43.2719,-89.3555,0.08463274,0.08463274,0.08463274,0.0,0.0,1.0,0.0
n280,43.2667,-89.2587,0.289223529,0.289223529,0.289223529,0.0,0.0,1.0,0.0
n281,43.2666,-89.2663,0.216918347,0.216918347,0.216918347,0.0,0.0,1.0,0.0
n282,43.2772,-89.4723,0.263022313,0.263022313,0.263022313,0.0,0.0,1.0,0.0
n283,43.2696,-89.2998,1.027999437,1.027999437,1.027999437,0.0,0.0,1.0,0.0
n284,43.2744,-89.4295,0.254641811,0.254641811,0.254641811,0.0,0.0,1.0,0.0
n285,43.2738,-89.4055,0.142818498,0.142818498,0.142818498,0.0,0.0,1.0,0.0
n286,43.2739,-89.3939,0.452695583,0.452695583,0.452695583,0.0,0.0,1.0,0.0
n287,43.2729,-89.3895,0.392964423,0.392964423,0.392964423,0.0,0.0,1.0,0.0
n288,43.2734,-89.3841,0.352096409,0.352096409,0.352096409,0.0,0.0,1.0,0.0
n289,43.2724,-89.3601,0.657037079,0.657037079,0.657037079,0.0,0.0,1.0,0.0
n290,43.2747,-89.4491,0.113173613,0.113173613,0.113173613,0.0,0.0,1.0,0.0
n291,43.2742,-89.4242,0.200676773,0.200676773,0.200676773,0.0,0.0,1.0,0.0
n292,43.2698,-89.3272,0.490421876,0.490421876,0.490421876,0.0,0.0,1.0,0.0
n293,43.2751,-89.4567,0.15163362,0.15163362,0.15163362,0.0,0.0,1.0,0.0
n294,43.2723,-89.3129,4.765877775,4.765877775,4.765877775,0.0,0.0,1.0,0.0
n295,43.275,-89.4747,0.09157121,0.09157121,0.09157121,0.0,0.0,1.0,0.0
n296,43.2658,-89.272,0.243585885,0.243585885,0.243585885,0.0,0.0,1.0,0.0
n297,43.2722,-89.3769,1.053147533,1.053147533,1.053147533,0.0,0.0,1.0,0.0
n298,43.273,-89.4492,0.105209627,0.105209627,0.105209627,0.0,0.0,1.0,0.0
n299,43.2715,-89.3671,1.420958227,1.420958227,1.420958227,0.0,0.0,1.0,0.0
n300,43.2653,-89.3023,0.106887599,0.106887599,0.106887599,0.0,0.0,1.0,0.0
n301,43.2723,-89.4296,0.186898128,0.186898128,0.186898128,0.0,0.0,1.0,0.0
n302,43.2657,-89.297,0.160451145,0.160451145,0.160451145,0.0,0.0,1.0,0.0
n303,43.2733,-89.4152,1.424108435,1.424108435,1.424108435,0.0,0.0,1.0,0.0
n304,43.2684,-89.3588,0.477847882,0.477847882,0.477847882,0.0,0.0,1.0,0.0
n305,43.2642,-89.2602,0.977706263,0.977706263,0.977706263,0.0,0.0,1.0,0.0
n306,43.2731,-89.4567,0.383820062,0.383820062,0.383820062,0.0,0.0,1.0,0.0
n307,43.27,-89.388,0.679046231,0.679046231,0.679046231,0.0,0.0,1.0,0.0
n308,43.2671,-89.3319,0.264074085,0.264074085,0.264074085,0.0,0.0,1.0,0.0
n309,43.2743,-89.4668,0.808552768,0.808552768,0.808552768,0.0,0.0,1.0,0.0
n310,43.2704,-89.4095,0.229902444,0.229902444,0.229902444,0.0,0.0,1.0,0.0
n311,43.2651,-89.2918,0.0,0,1.0,0.0,0.0,1.0,0.0
n312,43.2731,-89.4748,0.124692825,0.124692825,0.124692825,0.0,0.0,1.0,0.0
n313,43.2734,-89.4365,0.338532534,0.338532534,0.338532534,0.0,0.0,1.0,0.0
n314,43.2707,-89.424,0.185091257,0.185091257,0.185091257,0.0,0.0,1.0,0.0
n315,43.2703,-89.4044,0.449553863,0.449553863,0.449553863,0.0,0.0,1.0,0.0
n316,43.2677,-89.3749,0.122744848,0.122744848,0.122744848,0.0,0.0,1.0,0.0
n317,43.2654,-89.311,0.260930937,0.260930937,0.260930937,0.0,0.0,1.0,0.0
n318,43.2621,-89.2522,0.427550397,0.427550397,0.427550397,0.0,0.0,1.0,0.0
n319,43.266,-89.3544,0.238031616,0.238031616,0.238031616,0.0,0.0,1.0,0.0
